State,Total_Spend,Avg_Spend,Transaction_Count
CA,869499953.4030991,161.54847864858496,5382285
TX,615573242.7837793,160.37573812488728,3838319
FL,583675600.4432343,159.80687678619353,3652381
PA,286890457.3603604,177.09506127258385,1619980
IL,264431570.68664858,110.30055426779586,2397373
NY,230677420.46590084,157.9557149793931,1460393
NC,210926482.6530631,160.0847019171042,1317593
VA,209252124.02103606,135.52993709080644,1543955
GA,187001357.97842345,148.1285698951253,1262426
OH,166533976.4086171,109.98773963427927,1514114
AZ,164665525.54295048,174.51793559708386,943545
MA,149606566.3156892,156.22748722425305,957620
SC,145713158.80864865,170.13939055274386,856434
CO,144799991.59661713,128.92953893139588,1123094
TN,142872017.14023423,148.08029735894297,964828
IN,121434985.76940541,122.0676624639561,994817
MD,118747260.43631983,195.9781232806254,605921
NJ,108098544.9893919,159.30063719549278,678582
HI,99336753.0,377.852828853776,262898
MI,95589060.50882433,100.1076180654443,954863
AL,94740714.52695045,159.86189704551398,592641
MO,94460241.83413962,147.9930152898666,638275
WA,77032407.4783964,106.47409065619384,723485
KY,72731180.52252252,124.558461758831,583912
WI,66910777.98648648,83.88257076403143,797672
UT,65941595.43737838,128.02975141661935,515049
MN,65154426.69147298,79.39919873978084,820593
DC,60833496.42935586,202.10531074640068,300999
IA,57715799.89457206,56.36446192003912,1023975
CT,57128140.472972974,198.016445199593,288502
MS,52920723.15765766,163.03515792708393,324597
LA,50336390.25662613,153.6848235478464,327530
OR,48369290.36686937,100.42101951951952,481665
NV,44343573.63973424,179.87236192129996,246528
AR,39514237.51445495,136.01585309541414,290512
OK,38504126.3356036,93.15860024388873,413318
KS,29547543.08108108,107.02258013264327,276087
NM,25458211.576576576,108.37893391475767,234900
ID,23835591.027027026,89.4346676986088,266514
WV,22963161.936936937,119.3871434056885,192342
DE,19900002.536036037,154.15006418556905,129095
NE,19068471.653153155,76.97404250322192,247726
NH,14471736.567567572,91.39313002897183,158346
RI,14005235.247747747,126.0937719253421,111070
ME,13447180.590090094,94.99816738788638,141552
AK,12116026.333333334,177.254093883801,68354
WY,10658380.608108109,121.0560577898587,88045
MT,9344476.180180183,73.27161951651493,127532
ND,9136830.198198197,147.28271001028753,62036
SD,9106318.921698198,97.80172829661903,93110
VT,7266783.554054053,106.87546591640393,67993
PR,886936.2207207206,426.00202724338163,2082
